[2021-01-23 01:10:08] top - 01:10:08 up  2:44,  4 users,  load average: 0.00, 0.02, 0.10
[2021-01-23 01:10:11]  1717 gdm       20   0 3217732 125904  58040 S   0.3  3.2   0:07.12 gnome-shell
[2021-01-23 01:10:11]     1 root      20   0  125712   4236   2608 S   0.0  0.1   0:02.41 systemd
[2021-01-23 01:10:11]     2 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kthreadd
[2021-01-23 01:10:11]     4 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
[2021-01-23 01:10:11]     6 root      20   0       0      0      0 S   0.0  0.0   0:00.26 ksoftirqd/0
[2021-01-23 01:10:11]     7 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/0
[2021-01-23 01:10:11]     8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
[2021-01-23 01:10:11]     9 root      20   0       0      0      0 S   0.0  0.0   0:01.18 rcu_sched
[2021-01-23 01:10:11]    10 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 lru-add-drain
[2021-01-23 01:10:11]    11 root      rt   0       0      0      0 S   0.0  0.0   0:00.05 watchdog/0
[2021-01-23 01:10:11]    12 root      rt   0       0      0      0 S   0.0  0.0   0:00.04 watchdog/1
[2021-01-23 01:10:11]    13 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/1
[2021-01-23 01:10:11]    14 root      20   0       0      0      0 S   0.0  0.0   0:00.08 ksoftirqd/1
[2021-01-23 01:10:11]    16 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
[2021-01-23 01:10:11]    18 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
[2021-01-23 01:10:11]    19 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
[2021-01-23 01:10:11]    20 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khungtaskd
[2021-01-23 01:10:11]    21 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
[2021-01-23 01:10:11]    22 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
[2021-01-23 01:10:11]    23 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
[2021-01-23 01:10:11]    24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
[2021-01-23 01:10:11]    25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
[2021-01-23 01:10:11]    26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
[2021-01-23 01:10:11]    27 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
[2021-01-23 01:10:11]    28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 edac-poller
[2021-01-23 01:10:11]    29 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 watchdogd
[2021-01-23 01:10:11]    35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
[2021-01-23 01:10:11]    36 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
[2021-01-23 01:10:11]    37 root      39  19       0      0      0 S   0.0  0.0   0:00.19 khugepaged
[2021-01-23 01:10:11]    38 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
[2021-01-23 01:10:11]    46 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
[2021-01-23 01:10:11]    47 root      20   0       0      0      0 S   0.0  0.0   0:00.11 kworker/u4:1
[2021-01-23 01:10:11]    48 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmpath_rdacd
[2021-01-23 01:10:11]    49 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kaluad
[2021-01-23 01:10:11]    51 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
